season,lg,top_seed,champion
2018,NBA,HOU,GSW
2017,NBA,GSW,GSW
2016,NBA,GSW,CLE
2015,NBA,GSW,GSW
2014,NBA,SAS,SAS
2013,NBA,MIA,MIA
2012,NBA,SAS,MIA
2011,NBA,CHI,DAL
2010,NBA,CLE,LAL
2009,NBA,CLE,LAL
2008,NBA,BOS,BOS
2007,NBA,DAL,SAS
2006,NBA,DET,MIA
2005,NBA,PHO,SAS
2004,NBA,IND,DET
2003,NBA,DAL,SAS
2002,NBA,SAC,LAL
2001,NBA,SAS,LAL
2000,NBA,LAL,LAL
1999,NBA,SAS,SAS
1998,NBA,CHI,CHI
1997,NBA,CHI,CHI
1996,NBA,CHI,CHI
1995,NBA,SAS,HOU
1994,NBA,SEA,HOU
1993,NBA,PHO,CHI
1992,NBA,CHI,CHI
1991,NBA,POR,CHI
1990,NBA,LAL,DET
1989,NBA,DET,DET
1988,NBA,LAL,LAL
1987,NBA,LAL,LAL
1986,NBA,BOS,BOS
1985,NBA,BOS,LAL
1984,NBA,BOS,BOS
1983,NBA,PHI,PHI
1982,NBA,BOS,LAL
1981,NBA,BOS,BOS
1980,NBA,BOS,LAL
1979,NBA,WSB,SEA
1978,NBA,POR,WSB
1977,NBA,LAL,POR
1976,NBA,GSW,BOS
1976,ABA,,NYA
1975,NBA,BOS,GSW
1975,ABA,,KEN
1974,NBA,MIL,BOS
1974,ABA,,NYA
1973,NBA,BOS,NYK
1973,ABA,,INA
1972,NBA,LAL,LAL
1972,ABA,,INA
1971,NBA,MIL,MIL
1971,ABA,,UTS
1970,NBA,NYK,NYK
1970,ABA,,INA
1969,NBA,BAL,BOS
1969,ABA,,OAK
1968,NBA,PHI,BOS
1968,ABA,,PTP
1967,NBA,PHI,PHI
1966,NBA,PHI,BOS
1965,NBA,BOS,BOS
1964,NBA,BOS,BOS
1963,NBA,BOS,BOS
1962,NBA,BOS,BOS
1961,NBA,BOS,BOS
1960,NBA,BOS,BOS
1959,NBA,BOS,BOS
1958,NBA,BOS,STL
1957,NBA,BOS,BOS
1956,NBA,PHW,PHW
1955,NBA,"FTW, SYR",SYR
1954,NBA,MNL,MNL
1953,NBA,MNL,MNL
1952,NBA,ROC,MNL
1951,NBA,MNL,ROC
1950,NBA,SYR,MNL
1949,BAA,,MNL
1948,BAA,,BLB
1947,BAA,,PHW
1949,NBL,,ADP
1948,NBL,,MNN
1947,NBL,,CAG
1946,NBL,,RCR
1945,NBL,,FWZ
1944,NBL,,FWZ
1943,NBL,,SHR
1942,NBL,,OAS
1941,NBL,,OAS
1940,NBL,,AFN
1939,NBL,,AFN
1938,NBL,,AGW
