season,lg,top_seed,champion,eos_top_elo,eos_top_elo_team,top_avg_elo,top_avg_elo_team,top_elo_delta,top_elo_delta_team,bop_top_elo,bop_top_elo_team,reg_top_avg_elo,reg_top_avg_elo_team,reg_top_elo_delta,reg_top_elo_delta_team
2018,NBA,HOU,GSW,1744.7551910941102,GSW,1703.2765200388765,GSW,261.5009654349101,PHI,1732.21374123572,HOU,1714.6048247552596,GSW,280.8344463806702,PHI
2017,NBA,GSW,GSW,1845.8128842488397,GSW,1758.1216154081371,GSW,152.83363460283,GSW,1769.6178903655,GSW,1744.963550789593,GSW,105.46494397303013,DEN
2016,NBA,GSW,CLE,1759.02910373393,CLE,1798.3236288346561,GSW,180.80329007114028,OKC,1788.47261056215,GSW,1800.9448494475794,GSW,158.51659101362998,CHO
2015,NBA,GSW,GSW,1822.2881,GSW,1725.5747640776701,GSW,231.49049999999988,GSW,1772.3469,GSW,1708.8664109756091,GSW,181.96839999999997,UTA
2014,NBA,SAS,SAS,1764.3367,SAS,1696.6351999999995,SAS,187.9302,PHO,1694.7902,SAS,1693.1979560975603,SAS,196.7491,CHO
2013,NBA,MIA,MIA,1754.1863,MIA,1703.857330476191,MIA,191.48429999999985,BRK,1757.0072,MIA,1692.747692682927,OKC,208.4767999999999,BRK
2012,NBA,SAS,MIA,1733.2849,SAS,1676.0518797752811,MIA,147.85950000000003,SAS,1716.3645,SAS,1680.059246969697,MIA,137.02960000000007,LAC
2011,NBA,CHI,DAL,1735.9329,DAL,1662.8584522727274,SAS,183.5483999999999,CHI,1712.2321,CHI,1665.953123170732,SAS,221.21489999999994,CHI
2010,NBA,CLE,LAL,1744.271,ORL,1715.1347806451615,CLE,193.06639999999993,OKC,1720.3916,ORL,1717.8986865853662,CLE,203.04579999999987,OKC
2009,NBA,CLE,LAL,1789.9934,LAL,1720.708066666667,LAL,193.8481999999999,CLE,1724.8857,CLE,1713.824714634146,LAL,191.23900000000026,POR
2008,NBA,BOS,BOS,1721.6619,BOS,1657.0436494949502,SAS,325.6255000000001,BOS,1722.0510000000002,BOS,1653.1445926829267,SAS,326.0146000000002,BOS
2007,NBA,DAL,SAS,1724.7701,SAS,1695.0883250000004,DAL,141.2177999999999,GSW,1708.5339,DAL,1696.392080487805,DAL,154.1101000000001,TOR
2006,NBA,DET,MIA,1691.9398,DAL,1690.9869250000002,DET,132.99649999999997,LAL,1685.0863,SAS,1701.013125609756,DET,150.2086999999999,LAL
2005,NBA,PHO,SAS,1696.3933,SAS,1713.9145790476186,SAS,238.99009999999998,PHO,1690.6172,DAL,1719.231101219512,SAS,205.30369999999994,PHO
2004,NBA,IND,DET,1718.6027,SAS,1688.949664130435,SAS,214.72489999999993,DEN,1733.5082,SAS,1682.287854878049,SAS,208.9025999999999,DEN
2003,NBA,DAL,SAS,1757.1665,SAS,1690.3159294117638,DAL,134.59079999999994,HOU,1696.6239,SAS,1694.3561536585362,DAL,134.59079999999994,HOU
2002,NBA,SAC,LAL,1737.6493,LAL,1693.7172475247528,LAL,201.68880000000013,NJN,1703.6317,SAS,1690.5573182926828,LAL,184.712,NJN
2001,NBA,SAS,LAL,1778.8915,LAL,1664.2907094736838,SAS,185.12390000000005,LAC,1697.0692,SAS,1657.4707256097558,SAS,185.12390000000005,LAC
2000,NBA,LAL,LAL,1690.6334,POR,1679.2352695238092,LAL,131.15280000000007,LAL,1728.7345,LAL,1670.2500951219508,LAL,169.71960000000013,LAL
1999,NBA,SAS,SAS,1755.5758,SAS,1677.704270491803,UTA,147.0087000000001,SAS,1689.5479,SAS,1687.2460339999996,UTA,129.46270000000004,TOR
1998,NBA,CHI,CHI,1785.4705,CHI,1713.190980582524,CHI,297.5340000000001,SAS,1733.2242,UTA,1701.7356304878044,CHI,279.1567,SAS
1997,NBA,CHI,CHI,1801.5142,CHI,1788.63954059406,CHI,152.06110000000012,HOU,1765.7954,CHI,1788.9670951219518,CHI,134.1658,MIA
1996,NBA,CHI,CHI,1823.0302,CHI,1744.2614679999997,CHI,231.44939999999997,CHI,1786.0736,CHI,1728.6957390243897,CHI,194.4928,CHI
1995,NBA,SAS,HOU,1674.1674,SAS,1671.8890197674418,SEA,132.58079999999995,DAL,1693.6779,SAS,1671.5150036585364,SEA,132.58079999999995,DAL
1994,NBA,SEA,HOU,1676.7645,SEA,1664.9032666666667,SEA,135.75919999999996,DEN,1706.9999,SEA,1662.8400695121952,SEA,121.78710000000001,ORL
